0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
358.37756,613.6673,0.9307614,371.15533,600.9289,0.90581226,363.49786,600.5683,0.825703,411.11084,614.93475,0.96554446,417.98804,614.20807,0.83806646,412.27203,689.91156,0.934453,425.3277,692.4665,0.8496572,329.0821,585.93085,0.8195702,331.40106,591.39545,0.72158086,261.93604,441.30316,0.8261049,262.36334,465.3913,0.76254845,418.37988,967.4653,0.9409632,417.5625,962.06085,0.84443396,430.64282,1217.3013,0.98638755,424.6778,1195.096,0.85802495,449.5874,1449.9517,0.9466622,436.40442,1378.8206,0.96327055
358.4826,614.02435,0.9292233,371.26666,601.26605,0.90766567,363.45087,600.9859,0.8281867,411.3036,614.9781,0.9658436,417.39484,614.21356,0.83305323,412.9301,690.3405,0.9303492,424.22638,692.4301,0.8461977,329.92078,586.736,0.81878746,331.23834,591.4622,0.72725713,262.86823,443.6463,0.8307746,262.42627,464.40692,0.752429,419.03082,968.18695,0.93986833,416.45764,962.97064,0.8449582,431.01782,1218.2278,0.977924,424.40607,1196.0674,0.8596884,449.29144,1449.8975,0.94305706,436.10828,1378.6187,0.962247
355.1281,613.7578,0.919524,369.43896,600.47144,0.9249675,361.66345,598.8114,0.8486312,412.55945,615.92957,0.96788234,416.14587,614.7013,0.7854266,411.73608,693.7744,0.976007,420.97998,692.52185,0.84896874,318.4862,588.3176,0.85400474,320.92084,598.19763,0.7338148,241.1482,440.86023,0.78469944,252.95557,486.8352,0.809005,422.27045,971.4197,0.88101864,422.1651,964.4298,0.79293275,435.22894,1221.4001,1.0019858,429.422,1200.5343,0.8610045,450.20148,1452.5378,0.9643383,436.9856,1378.1108,0.94736016
355.6776,611.6198,0.9415646,368.36835,600.15533,0.91845596,362.15216,596.9456,0.86351717,409.9776,614.8681,0.9723394,413.95782,611.58527,0.80562776,412.51495,695.4003,0.92937416,417.37592,690.8226,0.8954629,306.70142,596.191,0.8523037,311.6521,607.3548,0.60184586,205.44354,443.84137,0.8274343,227.30316,484.3178,0.38896292,428.65454,970.5555,0.9203599,417.69922,963.40485,0.88340175,438.05054,1221.0366,0.98958236,423.8969,1198.6519,0.9125842,451.57312,1449.0317,0.9600779,438.64624,1376.6394,0.9703983
354.73682,614.18396,0.9814105,367.76526,600.1261,1.0093746,359.48395,597.9435,0.9203125,413.6361,615.6781,0.9839489,424.0166,615.47375,0.7994906,415.22504,695.15564,0.94282293,428.64795,697.5155,0.8198762,291.49304,608.0587,0.8255467,288.69586,598.3734,0.61136186,164.7475,474.51514,0.82820135,183.04047,488.3905,0.42625147,433.7376,976.8998,0.9229054,428.0583,971.18713,0.83452463,436.79816,1217.8195,0.9919823,428.43433,1196.2013,0.81705785,452.10736,1452.3187,0.9422544,441.0312,1380.7694,0.93921983
352.59653,614.3598,0.9763515,366.3585,600.0535,0.95445526,357.52695,598.7337,0.905185,416.99777,613.61676,0.9802298,419.58005,612.8774,0.7868084,421.48557,695.9465,0.8989692,420.7076,692.32513,0.8139435,286.6066,630.61774,0.7409858,289.43893,643.58185,0.48353088,131.05063,529.2524,0.8425548,160.02524,547.76556,0.4834717,442.65073,974.69354,0.8623546,423.90695,968.1746,0.80506384,440.4592,1223.4646,0.94744086,427.775,1203.4504,0.8995155,453.12912,1452.5613,0.9708139,438.86728,1376.7861,0.9575538
352.60956,617.2731,0.9665775,367.58807,603.09143,0.9742532,358.08417,600.7074,0.93677056,418.79962,615.88245,0.9930384,420.28326,613.08215,0.7604519,421.2702,698.68445,0.90879554,423.07648,691.5868,0.8367562,290.62042,672.03613,0.8237814,280.9668,664.5554,0.5632771,109.31073,608.0117,0.8400174,136.23749,619.00146,0.47243354,450.6236,974.0187,0.87406045,426.81097,968.20337,0.81945586,440.0362,1221.9192,0.94768894,427.3836,1204.8021,0.8554955,455.25446,1452.4972,0.96177673,440.50226,1381.7504,0.9684921
353.55292,620.644,0.950039,369.27942,605.0527,0.97588485,359.18896,602.9887,0.92418283,422.9063,618.31757,0.94510365,419.22943,613.811,0.74724317,425.39276,706.1584,0.907655,423.654,697.4036,0.8322439,279.08002,711.3708,0.797428,276.23126,717.3212,0.63220227,95.19769,700.05255,0.88485676,127.83148,702.7236,0.47517103,459.22577,986.1313,0.88279545,440.91034,979.7547,0.8294425,437.25,1224.1543,0.96890384,427.01483,1200.9668,0.83966017,454.06836,1454.218,0.96331275,439.1878,1386.7563,0.9213893
348.60187,617.6991,0.97941965,365.1386,602.542,0.96381783,357.68787,600.0016,0.9195932,415.68542,623.3185,1.0030236,416.71362,622.25745,0.7439727,423.49597,714.2892,0.8786197,411.32397,702.0039,0.8264052,276.86676,765.218,0.845515,276.1673,765.21436,0.6984798,109.21338,810.58923,0.79577065,138.75995,804.9138,0.701464,471.18982,990.27856,0.89343405,439.52795,983.7346,0.82475907,435.35022,1219.3617,0.96321833,415.42126,1196.0144,0.9039601,456.4414,1456.0247,0.9612736,442.85516,1384.6296,0.9541095
342.40768,621.2277,0.9712957,360.68826,606.957,0.97973067,351.20212,602.6586,0.9062266,410.2579,631.68256,0.9993782,408.5538,627.08734,0.7213423,417.93307,732.2463,0.9040587,406.36252,708.77313,0.8590061,302.0427,832.4777,0.8741152,311.14316,811.57465,0.66757345,163.77988,925.6873,0.89060175,226.84506,872.3061,0.47427684,481.6218,995.34784,0.84022564,448.14658,986.267,0.82243145,423.6733,1220.9277,0.9109466,402.197,1190.9585,0.92724574,456.3231,1455.6345,0.9748428,441.59262,1380.3582,0.92414975
