0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
300.54846,814.8457,0.9936685,306.62817,806.3367,0.96708107,302.75806,806.5526,0.947559,324.19537,810.95435,0.97562015,324.78644,811.6643,0.7270441,327.30133,858.7427,0.92620957,326.21954,862.6023,0.8276736,269.20068,917.89685,0.9602338,273.11224,934.7616,0.9944285,199.62503,936.4109,0.97292125,205.22354,947.953,0.91986483,332.3028,1010.87134,0.8736129,329.0376,1011.1356,0.78605217,320.9146,1135.2528,0.9741136,318.49823,1133.4613,0.9284637,326.97186,1256.1155,0.952129,326.24664,1251.5237,0.9507745
297.9979,814.1565,0.9702096,304.23087,805.9862,0.9708098,301.3087,806.14404,0.9021946,321.07748,812.199,0.97637403,325.52634,814.11,0.7367867,324.9404,860.7103,0.94568264,329.55966,864.3701,0.81043935,270.10178,927.954,0.9993949,284.16415,942.1638,0.8741032,205.1456,949.3596,0.9793198,218.224,954.37366,0.77727675,333.52005,1013.98,0.8531078,333.6343,1014.25964,0.7516636,318.43643,1135.4607,0.96258926,317.7263,1133.6705,0.93435204,325.9471,1256.7856,0.9677644,325.67514,1251.418,0.9118934
295.4245,818.702,0.9507195,301.04364,809.8751,0.97569513,299.0545,810.3032,0.9312002,317.1949,814.67676,0.9644916,325.58954,816.7379,0.76407623,322.16382,865.9563,0.9734498,327.66473,867.89307,0.868347,271.18835,937.2599,0.92041266,280.85138,949.188,0.9826969,207.96199,967.7626,0.9566341,214.76317,974.6476,0.9139923,336.52295,1015.91895,0.84060425,336.14594,1016.0803,0.75415623,315.1219,1132.804,0.9176258,315.70685,1131.5189,0.8512738,326.8222,1255.997,0.9519509,326.2763,1250.4537,0.9475955
292.06354,822.3006,0.9741008,296.99762,813.66534,0.9604881,295.76678,814.02936,0.91089517,311.64777,818.4792,0.96427083,323.6985,820.9881,0.8094547,318.88983,869.9864,0.91845065,322.9839,869.84247,0.88656497,278.10864,952.6849,0.9480832,284.08276,961.3483,0.98035777,222.86256,993.35345,0.9851059,229.80586,994.38934,0.8957461,337.73425,1018.2735,0.84008765,336.9414,1018.2614,0.7420129,307.3296,1128.9602,0.95718074,310.88684,1129.2253,0.92048407,326.2799,1255.3389,0.9464857,325.85004,1251.0605,0.97668624
288.77917,828.93304,0.95732605,295.15826,821.0944,0.97649914,292.23016,820.76544,0.9505865,312.373,828.0295,0.97018147,316.54413,829.1015,0.7478262,315.89026,878.2531,0.98462695,325.45276,879.29083,0.81911814,284.58807,964.6849,0.9699417,291.53937,976.52875,0.97075796,236.4489,1019.1757,0.993031,244.66585,1024.6958,0.9189327,339.40723,1024.6965,0.88079184,343.5772,1024.5869,0.7748405,301.95483,1133.4727,0.9873945,309.1693,1133.8943,0.89791393,325.80713,1257.7156,0.9427901,324.49707,1251.5454,0.9277587
285.22998,839.471,0.99270844,290.30243,830.91,0.9729457,288.18726,831.2861,0.93193924,306.19257,835.7028,0.96964186,316.06604,837.7034,0.8310624,313.2099,883.20636,0.9208481,321.95532,884.91693,0.8264576,295.86328,967.3997,0.945194,311.00726,976.81573,0.81779486,263.04742,1037.1995,0.91432023,283.9749,1037.73,0.8967025,340.20807,1031.4893,0.8487135,341.51965,1030.593,0.7454703,300.42853,1136.311,0.9605316,304.38965,1136.207,0.9000933,325.27533,1259.9028,0.9591703,324.71362,1254.1819,0.9438561
279.6467,844.10626,0.9445193,284.74515,836.07355,0.9905616,283.15292,836.5257,0.95315623,301.20865,843.1318,0.949452,308.88437,844.9388,0.80219066,309.8472,891.53156,0.9374167,323.76535,889.6125,0.8520763,305.4609,975.5535,0.92492634,329.88687,970.6607,0.55489117,288.9008,1054.8748,0.95955044,313.94638,1044.1707,0.36234516,338.66263,1039.7197,0.8442153,348.74136,1036.7761,0.75211334,300.39328,1142.978,0.93680954,307.3293,1143.062,0.86538863,324.98795,1263.448,0.963618,324.7733,1258.4526,0.9973368
274.80203,850.424,1.0061299,279.75534,842.184,0.9801882,278.20248,842.40106,0.95414186,296.70267,847.3931,0.98355997,305.83572,849.0474,0.8102845,307.21725,895.65607,0.97288173,324.88815,894.71185,0.85560125,319.39847,972.08563,0.94937575,356.35123,971.3847,0.7683562,321.32193,1053.5571,0.98612475,374.52078,1042.5747,0.77714396,340.42093,1043.2886,0.8033922,354.8489,1039.9551,0.74003285,301.78342,1146.2183,0.93642426,309.2626,1146.5979,0.8784582,326.16617,1265.7815,0.9498899,326.84268,1260.697,0.9736337
270.9605,853.663,1.000408,275.3872,845.4439,0.9778341,274.3593,845.716,0.9025217,290.20593,850.09125,0.96297127,305.17242,852.5152,0.852231,303.52527,894.6893,0.9629485,324.02423,896.3139,0.83857954,332.76917,961.6491,0.939666,363.898,960.3427,0.8784126,354.563,1030.1621,0.96255386,399.50854,1014.90314,0.92227924,332.92426,1045.4846,0.84673333,347.0855,1043.5066,0.72315526,302.55164,1148.1577,0.933244,310.8056,1149.2195,0.9065927,326.3908,1267.2554,0.97087884,325.68158,1260.8213,0.970899
267.14395,854.8864,0.9664929,271.8007,846.66656,0.94323796,270.2491,846.87286,0.89075017,287.02292,852.28375,0.9708034,302.4078,854.66986,0.78744143,300.37894,894.4328,0.98226213,320.39944,894.06793,0.86882704,345.05795,948.32,0.90652275,372.33292,944.2758,0.87688375,385.0981,1000.8892,0.9257188,423.53244,981.49945,0.9647663,341.03586,1039.9133,0.8794491,357.54245,1036.2883,0.75687337,302.11783,1140.03,0.9770949,305.59195,1138.4558,0.85262066,325.05997,1263.3823,0.9768902,325.5261,1256.1228,0.8565757
264.648,855.5211,0.99682313,269.28937,847.50977,0.9742489,267.44745,847.8469,0.9428147,285.5298,852.10693,0.97316945,297.02832,854.1448,0.8035896,298.18518,889.61414,0.98490226,312.1693,889.3578,0.8253346,351.34222,925.80444,0.9614854,366.34674,923.88806,0.73987657,414.16296,958.7335,0.814004,430.99756,949.2433,0.86485386,349.01105,1031.8175,0.87905294,356.85303,1028.8185,0.7154321,300.45312,1135.1445,0.94582313,305.29596,1134.2089,0.866472,325.9439,1258.3165,0.953097,325.29993,1249.8401,0.89536667
261.83328,859.1087,0.9668527,265.502,849.9296,0.98623383,265.21045,850.4544,0.8841258,279.27496,853.9129,0.9857495,298.1089,855.69135,0.8615931,296.6018,889.5943,0.9688337,305.86005,893.00006,0.80519766,357.37897,908.30206,0.96250933,359.98633,919.9284,0.5739701,434.86798,917.477,0.8898765,431.99677,918.8284,0.5291544,353.71063,1027.5164,0.87212384,363.81512,1024.2998,0.7103915,297.898,1130.6348,0.99209845,305.88824,1129.251,0.8416681,324.86902,1253.3843,0.94107926,324.60034,1246.0723,0.93037033
259.2724,863.30927,0.9980985,263.9848,854.65045,0.9973308,261.7036,855.25995,0.94489384,280.58997,858.1506,0.93396187,293.93445,858.9218,0.8489809,297.01636,890.731,0.95754844,301.16827,894.6746,0.7883734,360.68335,897.01495,0.9448638,361.28693,903.5579,0.46042708,430.23328,888.46674,0.97436476,432.72937,889.6087,0.41455138,358.18243,1024.8591,0.8755065,365.76422,1021.9465,0.7034106,297.02362,1128.6865,0.9327821,304.62866,1127.3955,0.8743673,325.2116,1250.8733,0.94037676,324.6455,1243.8889,0.88774616
259.50848,868.88477,0.9902462,264.22028,860.01807,0.9969178,261.3241,860.76917,0.9448068,281.51617,863.0206,0.9205538,294.51367,863.1936,0.81559396,295.56335,895.3308,0.9869826,308.47363,897.73975,0.7106968,360.80243,890.31213,0.94161665,369.88092,894.1019,0.75518984,426.417,864.74255,1.0393727,431.0229,869.72363,0.95590734,360.53162,1028.2341,0.853722,371.57764,1024.9276,0.7174293,296.27765,1129.9448,0.9375292,304.19135,1128.9332,0.87032664,325.39014,1251.1876,0.93181336,324.46277,1244.6028,0.8687137
262.03473,875.23157,0.9506467,267.35278,867.00854,0.9867891,263.53394,867.7949,0.9279872,283.9167,871.453,0.95026577,295.27783,870.8668,0.71228063,296.71497,901.89197,0.9632652,311.0506,904.5779,0.70402503,360.09662,889.0299,0.92494935,375.83356,892.9918,0.81839013,420.56128,855.6293,1.0593495,426.16473,860.7245,0.9018636,365.0025,1034.0497,0.8655559,374.26074,1031.5924,0.73814785,295.0171,1131.616,0.95290077,303.5254,1132.4341,0.85016465,324.7669,1253.2408,0.9243686,325.02826,1247.275,0.9047296
260.41193,886.0658,0.9598479,264.97372,877.6848,0.9564365,262.72748,877.6406,0.89131993,281.15692,882.1887,0.98019725,292.81708,881.56995,0.699846,296.09943,912.4314,0.9367162,311.25977,912.93115,0.7029372,360.325,894.4817,0.9064044,377.76776,896.3718,0.7994596,418.81775,853.5819,1.0273998,423.25476,857.317,0.9397048,366.4635,1042.8177,0.8706799,378.85107,1040.3505,0.726107,291.1682,1135.8937,0.9362923,302.3282,1137.0498,0.87353086,325.64508,1256.1497,0.93512565,325.28345,1248.9458,0.94009423
