0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
656.0674,262.48032,0.9621547,660.22046,248.47006,0.92325246,656.5835,248.02414,0.97775006,605.21924,227.83835,0.83221614,634.86755,240.2543,0.9382074,534.9878,287.79892,0.9443779,615.9934,311.04636,0.9344457,500.72604,378.15457,0.9517368,631.6476,423.38486,0.9511353,490.77017,463.14792,0.92988384,678.869,509.60226,0.9270768,534.4501,492.84,0.79431105,592.1732,503.32614,0.7897185,542.63916,642.7411,0.9257928,590.0864,651.10266,0.9216838,490.87332,764.20044,0.8899351,567.1028,796.4364,0.92610633
656.037,262.50314,0.96140003,660.1963,248.50491,0.92270124,656.5668,248.06924,0.9774508,605.2114,227.82816,0.83217335,634.94055,240.31442,0.93834835,534.95667,287.8666,0.9446026,615.9629,311.0029,0.9337671,500.72806,378.13168,0.9520925,631.63696,423.3398,0.9505895,490.7585,463.17685,0.92964876,678.8699,509.6002,0.92759025,534.4675,492.8961,0.79421586,592.1813,503.30533,0.7896633,542.63635,642.7529,0.9263473,590.062,651.11975,0.9214346,490.8638,764.22205,0.8897247,567.10376,796.4553,0.92594635
660.2816,265.67947,0.9709991,664.44836,251.62497,0.91490114,661.0449,251.34134,0.9805057,609.30005,230.98734,0.85271966,639.0895,243.70993,0.9473885,539.72754,290.6835,0.9558313,619.7167,313.90427,0.9390506,502.05972,377.81247,0.94600093,638.20056,426.35855,0.9440067,487.04105,460.1934,0.93079627,686.46313,511.1378,0.9130044,539.5531,495.9778,0.79379815,596.23254,506.11002,0.7998917,549.20996,644.7772,0.8960515,589.53015,654.2346,0.9134332,499.4567,763.27075,0.92618525,566.8613,797.80884,0.92767
666.20245,267.21393,0.939154,670.81525,253.53497,0.8782363,666.7585,252.7298,0.9566319,615.9671,233.24261,0.8352727,644.00287,245.09662,0.96112406,544.2437,293.17487,0.93420744,624.0263,315.56598,0.94367015,505.31427,376.50415,0.95655036,645.0236,424.3205,0.9128052,486.23145,460.3122,0.91607285,695.0683,512.35455,0.9267162,544.07983,496.8659,0.7606429,600.071,507.50006,0.7968365,555.96356,646.9279,0.90270674,592.5424,656.90533,0.9063479,511.62726,764.0551,0.914921,567.85785,800.7497,0.9077953
671.20917,269.64175,0.9402387,675.8665,256.07138,0.87529016,672.232,255.3281,0.95717967,621.58215,235.2001,0.83278036,650.04913,247.4874,0.9503829,549.57416,294.52896,0.94184107,628.90283,316.8716,0.9444512,508.38544,379.6332,0.9503616,651.9509,426.24863,0.9091835,486.5028,463.22226,0.93927336,701.5231,514.46875,0.9099648,548.82916,499.15915,0.7596276,603.4726,510.6251,0.8027388,563.7707,645.7776,0.91413915,596.0933,656.9,0.91532713,525.88885,763.22095,0.899053,569.0688,800.55237,0.8878956
678.72076,278.67987,0.95789266,683.2938,264.9593,0.9121895,679.92017,264.01886,0.9643339,630.2882,242.6731,0.79468143,657.8275,255.0152,0.9271111,557.9596,302.11035,0.9472668,636.5185,325.0395,0.9269342,514.0598,390.06598,0.9512558,659.4007,434.7519,0.9262432,490.41187,474.357,0.94927055,706.50336,520.3284,0.89290375,555.72253,505.10138,0.7784658,606.3083,517.2614,0.8058156,585.8127,650.48444,0.7458646,597.819,662.66644,0.9371466,563.8566,765.904,0.9108738,569.2582,806.3028,0.9263176
683.0659,284.40494,0.97466445,687.40234,270.48618,0.9319023,683.94104,269.36642,0.991871,635.2593,248.27237,0.7988864,661.9326,259.58865,0.9278634,561.9215,305.99918,0.9290354,639.07983,329.56522,0.91896844,517.79956,396.22342,0.9406773,660.8518,436.84055,0.9145004,494.2581,481.72208,0.94093716,706.75476,523.3638,0.9347476,556.9209,510.40213,0.7861661,608.20715,522.22144,0.8050506,589.21387,649.4491,0.7446123,597.9048,663.88635,0.9316397,579.2556,766.5123,0.81335235,566.0742,808.68396,0.88509405
682.9873,284.50546,0.97394323,687.3325,270.60306,0.93150115,683.9158,269.46463,0.9913558,635.41455,248.2966,0.79883397,661.98926,259.61227,0.92713606,561.88525,305.95035,0.92821085,639.06555,329.57413,0.9187013,517.8214,396.1685,0.94052887,660.8634,436.82205,0.914073,494.2408,481.71896,0.9399729,706.746,523.35864,0.93459415,556.91077,510.3163,0.78560114,608.15076,522.14575,0.80503154,589.343,649.36096,0.7438114,597.95654,663.7909,0.93200606,579.31604,766.26843,0.8139884,566.12256,808.5792,0.88485634
685.3836,289.81668,0.9657264,689.91064,276.31326,0.92308176,686.7112,274.54825,0.9713245,638.90735,253.155,0.76457417,666.13464,264.08823,0.95627594,564.52856,310.269,0.9404921,640.91724,332.4799,0.9259095,521.88416,401.90482,0.9470637,660.9251,440.47958,0.91280365,499.55774,487.59598,0.9455018,704.7885,527.3911,0.92276216,558.08185,511.28543,0.77844286,608.1633,523.62366,0.80451035,602.16016,650.16724,0.70973635,597.16675,665.0288,0.933831,586.8205,764.51135,0.9103743,566.58765,811.8722,0.8933044
686.83984,294.58566,0.9697199,691.4888,281.32034,0.9182235,688.7507,279.40482,0.966956,641.0568,256.88553,0.7595583,669.2357,268.44217,0.9523958,565.0049,313.08328,0.9544661,641.5355,335.657,0.92052805,523.7931,407.6901,0.9617301,658.8485,444.73575,0.95106447,502.52106,494.72238,0.9225184,700.7702,531.7167,0.92945075,558.39496,510.13687,0.7646089,608.1594,523.1278,0.8133645,610.989,648.3843,0.7861941,596.92786,665.656,0.9149033,597.5808,759.44836,0.9422307,561.5424,813.7521,0.89141804
