0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
269.5347,935.9363,0.91659194,278.90536,926.0946,0.89523935,271.05582,926.7212,0.889379,303.09207,937.5867,0.8866727,299.43448,937.60815,0.73903215,316.49008,981.94727,0.9395992,300.1606,989.8451,0.9069892,265.45682,896.1354,0.9709389,262.5051,898.0359,0.57332385,237.94815,816.9729,0.9394944,236.52762,825.8679,0.44003993,317.00406,1158.2346,0.9511119,301.626,1158.0157,0.8863555,317.0137,1302.019,0.9544064,309.66525,1294.6199,0.8787543,326.41177,1444.7312,0.9603685,316.77017,1421.2014,0.9381585
269.61978,938.71106,0.8362521,279.74753,928.1992,0.83845603,272.80948,929.8822,0.8456204,306.8383,935.3584,0.88881457,298.1481,936.8971,0.78340745,317.81656,983.6632,0.9382123,297.52835,991.05725,0.8564351,257.32822,904.2162,0.8944643,252.69254,902.9779,0.5928296,224.05148,818.3633,0.9754564,227.96646,831.12976,0.36682346,318.3207,1156.3716,0.9459105,300.59103,1155.5701,0.8802992,317.858,1300.3086,0.92912316,309.3768,1295.6135,0.8670615,326.65213,1443.4915,0.947911,314.71054,1421.6687,0.92536616
266.12363,938.56604,0.847999,276.01132,928.844,0.8718277,269.5602,930.06836,0.8219099,301.78287,934.9696,0.8965594,298.02005,935.4,0.75275093,317.53647,981.32837,0.94878423,297.83206,989.7097,0.8682257,249.91312,909.08704,0.93327445,245.76077,907.6715,0.7395076,207.40976,832.859,0.9486682,210.64182,843.01855,0.5819896,323.5585,1156.2897,0.9368478,307.79276,1156.2935,0.8690088,317.04007,1298.0072,0.95734537,310.31357,1291.7705,0.8859552,325.4667,1443.0505,0.9390485,316.49588,1421.8729,0.954469
263.32855,947.02185,0.8864181,273.48004,936.3386,0.9129792,266.97992,937.77686,0.91494477,302.32452,936.47644,0.9567106,293.0396,938.4044,0.82629466,320.6347,979.7809,0.9312236,299.5251,989.2572,0.8481933,240.27509,920.23486,0.90376556,230.95111,920.9923,0.5345128,177.77399,849.4634,0.90402246,182.40979,857.66406,0.4956352,329.21466,1158.5542,0.91814977,307.7979,1158.5406,0.90100324,317.54517,1297.3677,0.9455241,305.90997,1290.4613,0.9258719,325.85358,1438.7516,0.9052571,313.86176,1418.7426,0.98415947
266.2301,943.6664,0.8028374,276.06842,933.7313,0.8605346,270.05237,934.2981,0.8670012,302.38342,934.1227,0.97289526,296.57703,935.2428,0.6870668,323.83093,976.34204,0.94378877,300.41418,982.85156,0.86012614,234.5426,936.71655,0.863603,225.97119,945.69434,0.75838256,165.34052,888.14,0.84991467,170.92352,897.7838,0.6101541,334.43976,1153.8551,0.883227,312.44348,1154.8693,0.89266497,319.25903,1295.1177,0.90855,306.55286,1289.3586,0.91658974,324.11493,1436.7336,0.9145547,312.45435,1417.5504,0.9707284
260.6759,942.5536,0.90705895,268.04114,932.02576,0.94873714,263.30505,932.8019,0.91042006,297.55664,934.38684,0.94953704,291.47437,933.2954,0.6787915,321.6715,973.2894,0.9528346,294.64722,981.5215,0.81638324,231.79004,961.08875,0.92017937,218.42267,961.49365,0.7027294,160.40497,938.33044,0.7354363,156.86676,942.2529,0.75797033,340.1598,1150.1633,0.88697064,311.3119,1153.1602,0.86166334,319.89954,1291.6987,0.92661047,306.31714,1285.9379,0.90665877,325.49097,1435.971,0.9273696,312.90875,1412.69,0.92371535
255.807,941.86475,0.9677176,264.17786,931.6649,0.99004924,257.83594,932.7411,0.9153398,292.97662,933.16956,0.97058403,288.6183,933.2942,0.7307765,319.4718,973.6317,0.93485713,289.63873,984.17773,0.82388604,230.10864,991.1985,0.8550759,216.79156,1001.9165,0.7763454,149.5639,991.97644,0.8172562,152.31189,997.19006,0.7480037,347.30762,1148.3717,0.88360655,315.68085,1153.1493,0.83060443,318.33643,1287.5474,0.9111076,303.3003,1282.5632,0.9148395,326.17432,1432.1931,0.9176189,312.21973,1409.3348,0.9499157
250.79443,948.1285,0.9279733,259.38287,936.5018,0.9384914,253.46869,937.98334,0.92452985,287.13098,940.3222,0.9744462,282.08478,942.0788,0.72189295,313.04474,975.85297,0.9793725,282.0213,991.19366,0.78257793,242.43817,1024.9805,0.78433645,221.66449,1042.8508,0.7132089,151.0108,1048.0771,0.6485642,148.69519,1067.0642,0.5955945,355.93573,1148.6389,0.87619805,320.33734,1156.4111,0.81197095,316.1136,1283.6428,0.91780454,300.70453,1278.772,0.92272705,329.56732,1431.6826,0.9094705,313.40607,1407.824,0.9333399
247.26572,960.46985,0.9469075,255.18515,947.7627,0.96122926,248.88705,949.5626,0.940058,283.6915,949.7582,0.9614668,276.2899,952.016,0.66212773,304.56613,985.6863,0.94276,276.24362,1005.06287,0.77642405,264.27835,1065.0365,0.68058753,248.65762,1090.8839,0.7728443,197.33365,1143.5203,0.5239077,194.45486,1141.4354,0.5888382,363.74747,1153.4174,0.8727881,326.0057,1162.34,0.81980115,314.14474,1284.8914,0.93316126,297.85153,1280.1263,0.9248537,337.1511,1431.5277,0.88814735,316.08212,1406.2164,0.94942224
238.7291,974.2597,0.96993834,246.61395,961.85126,0.9474666,242.492,962.80023,0.9221604,269.48953,966.06,0.94354934,272.6205,966.36163,0.7277607,293.9069,1008.6563,0.882671,283.08945,1014.0876,0.7955361,295.12186,1101.2988,0.8281103,273.00638,1111.5107,0.82096136,262.4412,1176.5371,0.65113926,235.84311,1170.835,0.73532534,369.0861,1162.0154,0.8667497,337.58755,1165.9697,0.77413344,312.9576,1289.6975,0.9763962,301.67874,1283.1174,0.9006556,341.6154,1434.71,0.91251326,320.5463,1408.325,0.87743354
230.05229,998.76697,0.94280636,238.70586,986.0984,0.9625859,235.82985,986.93494,0.89244425,259.79742,990.2666,0.95181936,267.32947,989.7655,0.75703573,289.67328,1032.8688,0.90712583,283.2978,1031.8118,0.8039156,329.5517,1124.2854,0.8681747,315.66736,1127.193,0.57992154,327.55756,1208.3856,0.8260716,312.49042,1206.6855,0.65692186,372.1579,1177.4944,0.858374,350.98383,1177.406,0.72664046,307.06366,1299.5565,0.94120324,291.81305,1286.954,0.87801945,340.86853,1441.2764,0.8620961,322.00983,1414.7446,0.8863667
225.71933,1024.8627,0.92544675,232.38516,1011.9945,0.9525437,229.10992,1012.41895,0.8849066,254.52963,1014.55884,0.92898893,261.26553,1014.08765,0.749169,285.69022,1057.2847,0.89810705,277.77164,1056.3959,0.7755989,355.12643,1122.1431,0.872808,352.37277,1121.0474,0.58936083,400.09793,1190.5463,0.80325246,398.5151,1184.5883,0.51378965,360.447,1205.8151,0.8317801,334.71555,1206.2751,0.734339,301.64804,1314.099,0.9237097,283.7429,1301.4337,0.8687202,342.8196,1448.5382,0.89461434,322.6924,1418.6246,0.92453825
224.76505,1052.6381,0.9502445,231.11234,1040.692,0.9516256,227.18387,1040.7045,0.8912667,250.93188,1045.5977,0.92131555,256.5419,1043.4327,0.67798114,283.3538,1092.1261,0.9063269,276.4639,1084.6526,0.7872858,375.8445,1133.8745,0.9282243,371.16995,1136.018,0.558099,443.87344,1187.3241,0.8707009,436.77213,1183.5057,0.76588774,378.24185,1222.0476,0.84069943,349.53787,1218.1664,0.6956158,294.4213,1325.6189,0.9390397,274.80362,1305.8219,0.92610896,344.93295,1454.352,0.92780995,325.41776,1423.6119,0.8850634
223.48193,1073.4612,0.99450773,231.01111,1063.4265,0.9831347,227.61063,1063.3525,0.9109808,251.95276,1069.8601,0.90730095,256.20746,1068.6277,0.66027963,291.44305,1113.563,0.88346124,273.24844,1112.6277,0.7834559,378.40317,1134.9622,0.8700617,364.0386,1144.2249,0.6701981,443.96762,1166.6033,0.92373973,418.5648,1156.8501,0.35137898,381.52304,1241.4941,0.8086115,347.15353,1239.2644,0.66090095,285.452,1335.6389,0.9304713,265.7897,1317.5288,0.91743994,341.75723,1457.2295,0.8626635,319.80484,1427.9033,0.88824046
227.59923,1085.5182,0.9348345,237.52296,1077.8875,0.95193994,231.41988,1076.3706,0.9339423,265.64758,1091.2157,0.9609773,264.05872,1089.9105,0.66022754,294.71826,1128.7306,0.8796179,279.45453,1130.0781,0.72625643,377.3435,1150.5061,0.88516945,375.29303,1148.7878,0.6731992,440.1266,1180.9083,0.81196916,435.62628,1171.3518,0.7784618,381.43823,1257.0813,0.7660309,350.81238,1254.1193,0.60529053,278.961,1343.0183,0.9073949,261.82324,1320.6212,0.8434166,340.12054,1458.2926,0.87986255,317.1515,1430.2892,0.8784472
235.01273,1086.8967,0.94334775,246.39798,1079.6007,0.95937204,240.91827,1078.1742,0.9073664,272.50308,1094.5079,0.9023868,267.94617,1092.6604,0.6216243,300.54245,1138.3585,0.8854561,281.52237,1142.624,0.79365414,390.05478,1176.9768,0.8646341,387.2117,1178.5414,0.61383164,438.03867,1232.2634,0.7812189,437.8707,1225.4601,0.7037382,378.63266,1264.214,0.784011,345.0106,1262.3258,0.6293074,274.82224,1343.7604,0.9216658,257.55453,1326.3959,0.85452557,338.49124,1458.3046,0.8923425,315.91684,1431.2959,0.82688487
